# stla	stlo	net.stat.loc.chan	stel	stdp
           66.471687            66.471687    ZR.N1309..HHZ           477.0        0.0
            66.60733             66.60733    ZR.N1311..HHZ           473.0        0.0
           65.628799            65.628799    ZR.N1312..HHZ           295.0        0.0
           65.688431            65.688431    ZR.N1313..HHZ           404.0        0.0
           65.758141            65.758141    ZR.N1314..HHZ           509.0        0.0
           65.967339            65.967339    ZR.N1315..HHZ           451.0        0.0
           65.206993            65.206993    ZR.N1316..HHZ           563.0        0.0
           64.797462            64.797462    ZR.N1317..HHZ           531.0        0.0
           64.965698            64.965698    ZR.N1318..HHZ           298.0        0.0
           65.162514            65.162514    ZR.N1319..HHZ           414.0        0.0
           65.744041            65.744041    ZR.N1320..HHZ           537.0        0.0
           65.647751            65.647751    ZR.N1321..HHZ           455.0        0.0
           66.000092            66.000092    YY.N66D..HHZ           189.0        0.0
           64.714653            64.714653    Z7.NAIR..HHZ           837.0        0.0
           65.020233            65.020233    Z7.NAUG..HHZ           697.0        0.0
           65.020714            65.020714    Z7.NAUT..HHZ           692.0        0.0
            74.87175             74.87175    XF.NE1.00.BHZ          2843.0        1.8
           73.990723            73.990723    XF.NE2.00.BHZ          2699.0        2.0
           76.394577            76.394577    XF.NE3.00.BHZ          2773.0        2.0
           76.657433            76.657433    XF.NE4.00.BHZ          2371.0        2.0
           74.117332            74.117332    XF.NE5.00.BHZ          2765.0        2.0
           79.326187            79.326187    XF.NE6.00.BHZ          2182.0        2.0
           77.444702            77.444702    DK.NEEM.01.BHZ          2513.0      320.1
           64.923767            64.923767    Z7.NOFL..HHZ           741.0        0.0
           64.933922            64.933922    Z7.NOHR..HHZ           826.0        0.0
           81.604698            81.604698    DK.NOR..BHZ            36.0        0.0
           61.159531            61.159531    DK.NRS..BHZ            80.0        0.0
           71.538383            71.538383    DK.NUUG..HHZ            36.0        0.0
             64.1838              64.1838    DK.NUUK..BHZ           110.0        0.0
           65.042252            65.042252    Z7.OLAF..HHZ          1127.0        0.0
            65.03933             65.03933    4F.OSKV..HHZ          1209.0        0.0
           66.479637            66.479637    YE.PILOT.00.HHZ          2132.0        0.0
           66.143471            66.143471    X5.PNGN..BHZ            32.0        0.0
           50.155156            50.155156    BE.RCHB..HHZ           182.0       43.0
           64.915329            64.915329    Z7.RIFN..HHZ           989.0        0.0
           64.915329            64.915329    Z7.RIFR..HHZ           657.0        0.0
           71.746002            71.746002    YM.RIIS..HHZ            90.0        0.0
           64.901939            64.901939    Z7.RIMA..HHZ           746.0        0.0
            64.74295             64.74295    Z7.RJUP..HHZ           996.0        0.0
            64.98513             64.98513    4F.RODG..BHZ          1022.0        0.0
            63.96291             63.96291    Z7.SAND..HHZ            67.0        0.0
           65.426331            65.426331    YY.SBLA..HHZ           646.0        0.0
           70.485603            70.485603    DK.SCO..BHZ            69.0        0.0
            63.24852             63.24852    XF.SE1.00.BHZ            23.0        0.0
             66.9961              66.9961    IU.SFJD.00.BHZ           330.0        0.0
            51.83482             51.83482    ZM.SITE1..HHZ            54.0        0.0
             54.6926              54.6926    ZM.SITE2..HHZ           560.0        0.0
            54.69368             54.69368    ZM.SITE3..HHZ           554.0        0.0
           64.026093            64.026093    Z7.SKAF..HHZ           259.0        0.0
           65.577919            65.577919    YY.SKOG..BHZ           402.0        0.0
           64.877998            64.877998    Z7.SNAE..HHZ           240.0        0.0
           68.203499            68.203499    DK.SOEG..BHZ           179.0        0.0
           64.978943            64.978943    Z7.SOFA..BHZ          1004.0        0.0
           62.068501            62.068501    GB.SOFL..BHZ           721.0        0.0
           64.941933            64.941933    Z7.SOSU..HHZ           805.0        0.0
           78.177711            78.177711    NO.SPA0.00.BHZ           323.0        0.0
           78.179558            78.179558    NO.SPB1.00.BHZ           301.0        0.0
           78.174217            78.174217    NO.SPB2.00.BHZ           200.0        0.0
           78.173721            78.173721    NO.SPB3.00.BHZ           234.0        0.0
           78.178909            78.178909    NO.SPB4.00.BHZ           340.0        0.0
           78.182312            78.182312    NO.SPB5.00.BHZ           295.0        0.0
           64.941887            64.941887    Z7.SSUD..HHZ           807.0        0.0
             75.6604              75.6604    XW.ST1..HHZ          2685.0        0.0
           75.587997            75.587997    XW.ST2..HHZ          2742.0        0.0
             75.5467              75.5467    XW.ST3..HHZ          2721.0        0.0
